epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,63.7062,1.52613,5.0722,0.35342,1.66919,0.02047,6.6688,0.6795,0.23077,0.37032,0.07885,0.27429,0.30769,0.20308,0.05321,2.23627,6.60607,0.65002,2.86926,0.0405,0,0.00138125,0.00138125,0.00138125
27,65.2486,1.69801,5.32266,0.32976,1.83424,0.0249,7.20866,0.24792,0.38462,0.22151,0.04996,0.6193,0.30769,0.28277,0.0477,2.24304,6.47244,0.63745,2.69234,0.04194,0,0.0013565,0.0013565,0.0013565
28,66.7889,1.45168,4.67909,0.29649,1.55924,0.01987,6.88311,0.24792,0.38462,0.22151,0.04996,0.6193,0.30769,0.28277,0.0477,2.24304,6.47244,0.63745,2.69234,0.04194,0,0.00133175,0.00133175,0.00133175
29,68.2684,1.53184,5.18667,0.35211,1.55519,0.01938,6.51253,0.24792,0.38462,0.22151,0.04996,0.6193,0.30769,0.28277,0.0477,2.24304,6.47244,0.63745,2.69234,0.04194,0,0.001307,0.001307,0.001307
30,70.085,1.45206,4.52873,0.35638,1.41493,0.02137,6.77376,0.32423,0.46154,0.36753,0.07804,0.5346,0.30769,0.29019,0.1171,2.56736,5.57466,0.5776,2.1812,0.04699,0,0.00128225,0.00128225,0.00128225
31,71.6143,1.39653,4.40734,0.33304,1.53404,0.02069,7.16177,0.32423,0.46154,0.36753,0.07804,0.5346,0.30769,0.29019,0.1171,2.56736,5.57466,0.5776,2.1812,0.04699,0,0.0012575,0.0012575,0.0012575
32,73.5952,1.46068,4.37262,0.38563,1.29922,0.02252,6.54543,0.532,0.53846,0.47907,0.10972,0.3808,0.38462,0.2888,0.12058,2.58615,5.30476,0.56518,2.00488,0.04746,0,0.00123275,0.00123275,0.00123275
33,75.6293,1.51188,4.94175,0.42234,1.44621,0.02025,6.06916,0.532,0.53846,0.47907,0.10972,0.3808,0.38462,0.2888,0.12058,2.58615,5.30476,0.56518,2.00488,0.04746,0,0.001208,0.001208,0.001208
34,77.2345,1.72294,5.00788,0.32738,1.49331,0.02802,7.70385,0.48112,0.69231,0.54725,0.1393,0.34479,0.30769,0.25323,0.0962,2.60098,5.30779,0.51984,2.00807,0.05018,0,0.00118325,0.00118325,0.00118325
35,79.599,1.49351,4.61863,0.37776,1.11405,0.02126,6.24766,0.48112,0.69231,0.54725,0.1393,0.34479,0.30769,0.25323,0.0962,2.60098,5.30779,0.51984,2.00807,0.05018,0,0.0011585,0.0011585,0.0011585
36,81.5053,1.35993,4.55479,0.23718,1.32313,0.02026,6.5207,0.48112,0.69231,0.54725,0.1393,0.34479,0.30769,0.25323,0.0962,2.60098,5.30779,0.51984,2.00807,0.05018,0,0.00113375,0.00113375,0.00113375
37,83.0796,1.40539,4.49071,0.30123,1.28677,0.01758,6.02519,0.41481,0.76923,0.6114,0.14083,0.18263,0.30769,0.17309,0.07275,2.54566,5.29325,0.50601,1.70089,0.04863,0,0.001109,0.001109,0.001109
38,84.5865,1.38773,4.26299,0.36872,1.18328,0.02029,6.41526,0.41481,0.76923,0.6114,0.14083,0.18263,0.30769,0.17309,0.07275,2.54566,5.29325,0.50601,1.70089,0.04863,0,0.00108425,0.00108425,0.00108425
39,86.7459,1.4525,4.49034,0.34248,1.04683,0.02045,6.03322,0.68243,0.92308,0.84536,0.1803,0.22094,0.38462,0.24166,0.1038,2.41282,5.24988,0.55063,1.87548,0.04503,0,0.0010595,0.0010595,0.0010595
